journal,impact_factor
Nature,50.0
Science,45.0
Cell,64.5
Nature Materials,41.2
Nature Biomedical Engineering,29.0
Nature Nanotechnology,38.3
Nature Communications,16.6
Science Advances,13.6
PNAS,11.1

Advanced Materials,27.4
Advanced Functional Materials,19.0
Advanced Science,14.3
Advanced Intelligent Systems,7.1
Advanced Engineering Materials,4.8
Advanced Optical Materials,9.0
Advanced Electronic Materials,6.2
Advanced Energy Materials,27.8
Advanced Healthcare Materials,9.6

Matter,18.9
Materials Horizons,13.3
Device,11.0
Small,13.0
Small Methods,12.4
ACS Nano,15.8
Nano Letters,10.8

Bioactive Materials,20.3
Biomaterials,12.9
Materials Today Bio,10.2
Acta Biomaterialia,9.6
Biofabrication,8.0
Regenerative Biomaterials,8.1
Journal of Controlled Release,10.5
Tissue Engineering Part A,4.5

Biomaterials Science,5.7
Journal of Materials Chemistry B,5.7
Dental Materials,6.3
ACS Biomaterials Science & Engineering,5.5
Colloids and Surfaces B-Biointerfaces,5.6

Soft Robotics,7.9
Bioinspiration & Biomimetics,4.4
Smart Materials and Structures,4.1
Extreme Mechanics Letters,5.1
Mechanics of Materials,4.7

Chemical Society Reviews,40.4
ACS Materials Letters,12.0
Materials Today,24.2
Materials Today Physics,11.0
Materials Today Chemistry,8.6

Energy & Environmental Science,32.5
Nano Energy,19.0
Energy Storage Materials,18.9

Interface Focus,4.3
Langmuir,4.2
ACS Applied Materials & Interfaces,8.3
ACS Applied Bio Materials,4.8

eLife,7.7
Cell Reports,8.8
Current Opinion in Biotechnology,10.7
Trends in Biotechnology,17.3
Nature Reviews Materials,79.8
Nature Reviews Bioengineering,38.1

